"Story","Title","Result","Date","Stability","Duration (s)"
"Petstore Application","CRUD Test","SUCCESS","2023-01-10T18:30:32.301Z[Europe/London]","0.0","29.93"
"Petstore Application User","CRUD Test","SUCCESS","2023-01-10T18:31:04.138Z[Europe/London]","0.0","6.35"
"Data driven test user","Data driven test for adding multiple users","SUCCESS","2023-01-10T18:30:53.534Z[Europe/London]","0.0","328.63"
"Data driven test pet","Data driven test for adding multiple students","SUCCESS","2023-01-10T18:31:19.499Z[Europe/London]","0.0","19.04"
"Tag with pet runner","Provide a 415 status code when incorrect HTTP method is used to access a resource","SUCCESS","2023-01-10T18:31:19.774Z[Europe/London]","0.0","0.65"
"Tag with pet runner","Verifies whether a status code of 405 is returned for GET method","SUCCESS","2023-01-10T18:31:20.426Z[Europe/London]","0.0","0.49"
"Tag with pet runner","Provides an error code of 404 when user accesses an invalid resource","SUCCESS","2023-01-10T18:31:20.913Z[Europe/London]","0.0","0.5"
"Tag with user runner","Provide a 405 status code when incorrect HTTP method is used to access resource","SUCCESS","2023-01-10T18:31:21.498Z[Europe/London]","0.0","0.56"
"Tag with user runner","This test will verify if a status code of 405 is returned for GET request","SUCCESS","2023-01-10T18:31:22.058Z[Europe/London]","0.0","0.49"
"Tag with user runner","This test will provide an error code of 404 when user tries to access an invalid resource","SUCCESS","2023-01-10T18:31:22.548Z[Europe/London]","0.0","0.51"
"Testing different request on the petstore","Check if the pet can be created by the user","SUCCESS","2023-01-10T18:31:10.816Z[Europe/London]","0.0","0.58"
"Testing different request on the petstore","Check if the pet can be accessed by the user","SUCCESS","2023-01-10T18:31:11.655Z[Europe/London]","0.0","0.57"
"Testing different request on the petstore","Check if the pet can be updated by the user","SUCCESS","2023-01-10T18:31:12.464Z[Europe/London]","0.0","0.56"
"Testing different request on the petstore","Check if the pet can be deleted by the user","SUCCESS","2023-01-10T18:31:13.343Z[Europe/London]","0.0","0.57"
"Testing different request on the petstore","Check if the user account can be created by the user","SUCCESS","2023-01-10T18:31:14.326Z[Europe/London]","0.0","0.53"
"Testing different request on the petstore","Check if the user account can be accessed by the user","SUCCESS","2023-01-10T18:31:15.200Z[Europe/London]","0.0","0.52"
"Testing different request on the petstore","Check if the user account can be updated by the user","SUCCESS","2023-01-10T18:31:15.910Z[Europe/London]","0.0","0.54"
"Testing different request on the petstore","Check if the user account can be deleted by the user","SUCCESS","2023-01-10T18:31:16.637Z[Europe/London]","0.0","0.57"
